Product Code,Description,Type,Category,Gina Old Distributor Price (£),New Distributor Price (£),Price Change (£),Price Change (%)
CP-NY/SL-30-HH,CP Applicator Black Nylon Sleeve H&H 30mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-30-HH-B,CP Applicator Blue Nylon Sleeve H&H 30mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-35,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Stahl/H,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-35-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Stahl/He,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-35-HH,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Herzog,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-35-HH-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Herzog a,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-36,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Agor &,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-36-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Agor & M,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-40-B-MOD,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit MBO 40mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-40-MOD,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit MBO 40m,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-BF-22,CP Applicator Black Nylon Sleeve Small Baum -22mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-BF-22-B,CP Applicator Blue Nylon Sleeve Small Baum -22mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-BF-28,CP Applicator Black Nylon Sleeve Large Baum - 28mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-BF-28-B,CP Applicator Blue Nylon Sleeve Large Baum - 28mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-GUK,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit GUK 35m,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-GUK-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit GUK 35mm,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-HO,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Horizon,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-HO-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Horizon,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-SH-65-B,CP Applicator Blue Nylon Sleeve Shoei 35/65,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
MT-NY/SL-25,Multi-Tool Nylon Sleeve - 25mm - Black,consumable,Nylon Sleeve - Multi-Tool,29.20,29.20,0.00,0.0
