product_code,cost_price,,
MOULD-103,1.81,,
MOULD-103X,1.81,,
MOULD-104,1.66,,
MOULD-104B-XTRA,2.35,,
MOULD-104SB,1.81,,
MOULD-105,1.81,,
MOULD-105B,2.73,,
MOULD-106,1.81,,
MOULD-107,1.81,,
MOULD-107B,2.73,,
MOULD-108,1.81,,
MOULD-108B,2.73,,
MOULD-109,1.81,,
MOULD-10A,0.97,,
MOULD-110,1.81,,
MOULD-110B,2.73,,
MOULD-111,1.81,,
MOULD-111B,2.73,,
MOULD-112,1.81,,
MOULD-112B,2.73,,
MOULD-113,1.76,,
MOULD-113B-XTRA,2.35,,
MOULD-113SB,1.81,,
MOULD-114,1.76,,
MOULD-114B-XTRA,2.35,,
MOULD-114SB,1.81,,
MOULD-115,1.81,,
MOULD-115X,1.81,,
MOULD-116,1.81,,
MOULD-117,1.81,,
MOULD-117-BX,2.75,,
MOULD-117B,2.73,,
MOULD-117SB,1.81,,
MOULD-118,1.81,,
MOULD-118-BX,2.75,,
MOULD-118B,2.73,,
MOULD-118SB,1.81,,
MOULD-119B-SB,2.65,,
MOULD-119SB,1.81,,
MOULD-12,1.15,,
MOULD-120B-SB,2.65,,
MOULD-120SB,1.81,,
MOULD-121B-SB,2.65,,
MOULD-121SB,1.81,,
MOULD-122,1.81,,
MOULD-122-SX,1.81,,
MOULD-122BSX,2.50,,
MOULD-123,1.81,,
MOULD-123-SX,1.76,,
MOULD-123BSX,2.23,,
MOULD-124,1.81,,
MOULD-124-SX,1.81,,
MOULD-124BSX,2.23,,
MOULD-125,1.81,,
MOULD-125B,2.73,,
MOULD-125B-SB,2.73,,
MOULD-125B-SX,2.73,,
MOULD-125PI,1.50,,
MOULD-125X,1.81,,
MOULD-126,1.81,,
MOULD-126B,2.73,,
MOULD-126B-SB,2.73,,
MOULD-126B-SX,2.59,,
MOULD-126PI,2.73,,
MOULD-126X,1.81,,
MOULD-127,1.81,,
MOULD-127B,2.73,,
MOULD-127B-SB,2.73,,
MOULD-127PI,1.50,,
MOULD-127X,1.81,,
MOULD-128,2.73,,
MOULD-129,2.65,,
MOULD-13,1.15,,
MOULD-130,2.73,,
MOULD-131,1.81,,
MOULD-131B,2.73,,
MOULD-132,1.81,,
MOULD-132B,2.73,,
MOULD-133,1.81,,
MOULD-133B,2.73,,
MOULD-134SB,1.62,,
MOULD-135SB,1.81,,
MOULD-136SB,1.81,,
MOULD-137,1.81,,
MOULD-137B-X,2.61,,
MOULD-137SB,1.81,,
MOULD-138,1.81,,
MOULD-138B-X,4.85,,
MOULD-138SB,1.81,,
MOULD-139,1.81,,
MOULD-139B-X,2.61,,
MOULD-139SB,1.81,,
MOULD-14,1.07,,
MOULD-140,1.81,,
MOULD-140B,2.73,,
MOULD-140B-X,2.65,,
MOULD-140X,1.81,,
MOULD-141,1.81,,
MOULD-141B,2.73,,
MOULD-141B-X,2.28,,
MOULD-141X,1.76,,
MOULD-142,1.81,,
MOULD-142B,2.73,,
MOULD-142B-X,2.50,,
MOULD-142X,1.81,,
MOULD-143,1.81,,
MOULD-143X,1.76,,
MOULD-144,1.81,,
MOULD-144X,1.81,,
MOULD-145,1.81,,
MOULD-146,1.81,,
MOULD-146B,2.73,,
MOULD-147,1.81,,
MOULD-147B,2.73,,
MOULD-148,1.81,,
MOULD-149,1.81,,
MOULD-15,1.36,,
MOULD-150,2.73,,
MOULD-151,1.36,,
MOULD-152,1.36,,
MOULD-152B,2.73,,
MOULD-153,7.85,,
MOULD-154,7.85,,
